Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,GP,Track Length,Mean Speed
0 days 01:14:30.373000,VER,1,0 days 00:01:15.915000,20,7,,,0 days 00:00:26.262000,0 days 00:00:17.315000,0 days 00:00:32.338000,0 days 01:13:40.720000,0 days 01:13:58.035000,0 days 01:14:30.373000,288,320,305,326,TRUE,SOFT,2,TRUE,Red Bull Racing,0 days 01:13:14.458000,58:15.8,1,Australia,5.278,250.2904564
0 days 00:54:26.199000,MAG,20,0 days 00:01:17.427000,12,4,,,0 days 00:00:26.768000,0 days 00:00:17.575000,0 days 00:00:33.084000,0 days 00:53:35.540000,0 days 00:53:53.115000,0 days 00:54:26.199000,288,320,306,325,TRUE,SOFT,2,TRUE,Haas F1 Team,0 days 00:53:08.772000,38:10.2,1,Australia,5.278,245.4027665
0 days 01:15:06.494000,RUS,63,0 days 00:01:16.724000,22,6,,,0 days 00:00:26.501000,0 days 00:00:17.502000,0 days 00:00:32.721000,0 days 01:14:16.271000,0 days 01:14:33.773000,0 days 01:15:06.494000,286,314,306,320,TRUE,SOFT,3,TRUE,Mercedes,0 days 01:13:49.770000,58:51.2,1,Australia,5.278,247.6513216
0 days 01:14:58.699000,NOR,4,0 days 00:01:16.315000,18,6,,,0 days 00:00:26.393000,0 days 00:00:17.367000,0 days 00:00:32.555000,0 days 01:14:08.777000,0 days 01:14:26.144000,0 days 01:14:58.699000,287,315,304,320,TRUE,SOFT,2,TRUE,McLaren,0 days 01:13:42.384000,58:43.8,1,Australia,5.278,248.9785756
0 days 01:14:43.091000,SAI,55,0 days 00:01:16.185000,17,5,,,0 days 00:00:26.222000,0 days 00:00:17.434000,0 days 00:00:32.529000,0 days 01:13:53.128000,0 days 01:14:10.562000,0 days 01:14:43.091000,288,318,306,323,TRUE,SOFT,2,TRUE,Ferrari,0 days 01:13:26.906000,58:28.3,1,Australia,5.278,249.4034259
0 days 00:54:43.447000,ALO,14,0 days 00:01:16.710000,14,3,,,0 days 00:00:26.577000,0 days 00:00:17.457000,0 days 00:00:32.676000,0 days 00:53:53.314000,0 days 00:54:10.771000,0 days 00:54:43.447000,284,317,306,322,TRUE,SOFT,4,TRUE,Aston Martin,0 days 00:53:26.737000,38:28.1,1,Australia,5.278,247.6965194
0 days 00:33:26.560000,OCO,31,0 days 00:01:17.617000,10,2,,,0 days 00:00:26.857000,0 days 00:00:17.613000,0 days 00:00:33.147000,0 days 00:32:35.800000,0 days 00:32:53.413000,0 days 00:33:26.560000,286,320,303,323,TRUE,SOFT,6,TRUE,Alpine,0 days 00:32:08.943000,17:10.3,1,Australia,5.278,244.8020408
0 days 00:29:38.986000,ALB,23,0 days 00:01:17.130000,8,2,,,0 days 00:00:26.643000,0 days 00:00:17.564000,0 days 00:00:32.923000,0 days 00:28:48.499000,0 days 00:29:06.063000,0 days 00:29:38.986000,287,318,307,323,TRUE,SOFT,2,TRUE,Williams,0 days 00:28:21.856000,13:23.2,1,Australia,5.278,246.3477246
0 days 01:15:29.315000,TSU,22,0 days 00:01:16.788000,17,6,,,0 days 00:00:26.513000,0 days 00:00:17.507000,0 days 00:00:32.768000,0 days 01:14:39.040000,0 days 01:14:56.547000,0 days 01:15:29.315000,286,317,304,322,TRUE,SOFT,2,TRUE,RB,0 days 01:14:12.527000,59:13.9,1,Australia,5.278,247.4449133
0 days 00:54:48.518000,BOT,77,0 days 00:01:17.340000,14,4,,,0 days 00:00:26.770000,0 days 00:00:17.604000,0 days 00:00:32.966000,0 days 00:53:57.948000,0 days 00:54:15.552000,0 days 00:54:48.518000,286,319,302,319,TRUE,SOFT,2,TRUE,Kick Sauber,0 days 00:53:31.178000,38:32.6,1,Australia,5.278,245.6788208
