Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Track,Year
0 days 01:12:00.985000,VER,1,0 days 00:01:24.487000,7,1,,,0 days 00:00:30.235000,0 days 00:00:30.487000,0 days 00:00:23.765000,0 days 01:11:06.733000,0 days 01:11:37.220000,0 days 01:12:00.985000,,230,243,,TRUE,MEDIUM,10,FALSE,Red Bull Racing,0 days 01:10:36.498000,11:38.5,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:14:49.931000,VER,1,0 days 00:01:24.437000,9,1,,,0 days 00:00:30.271000,0 days 00:00:30.533000,0 days 00:00:23.633000,0 days 01:13:55.765000,0 days 01:14:26.298000,0 days 01:14:49.931000,,231,242,,TRUE,MEDIUM,12,FALSE,Red Bull Racing,0 days 01:13:25.494000,14:27.5,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:16:14.336000,VER,1,0 days 00:01:24.405000,10,1,,,0 days 00:00:30.290000,0 days 00:00:30.405000,0 days 00:00:23.710000,0 days 01:15:20.221000,0 days 01:15:50.626000,0 days 01:16:14.336000,,230,244,285,TRUE,MEDIUM,13,FALSE,Red Bull Racing,0 days 01:14:49.931000,15:52.0,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:19:03.104000,VER,1,0 days 00:01:24.306000,12,1,,,0 days 00:00:30.274000,0 days 00:00:30.285000,0 days 00:00:23.747000,0 days 01:18:09.072000,0 days 01:18:39.357000,0 days 01:19:03.104000,277,232,242,285,TRUE,MEDIUM,15,FALSE,Red Bull Racing,0 days 01:17:38.798000,18:40.8,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:21:51.660000,VER,1,0 days 00:01:24.201000,14,1,,,0 days 00:00:30.251000,0 days 00:00:30.200000,0 days 00:00:23.750000,0 days 01:20:57.710000,0 days 01:21:27.910000,0 days 01:21:51.660000,276,235,242,285,TRUE,MEDIUM,17,FALSE,Red Bull Racing,0 days 01:20:27.459000,21:29.5,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:23:15.781000,VER,1,0 days 00:01:24.121000,15,1,,,0 days 00:00:30.331000,0 days 00:00:30.156000,0 days 00:00:23.634000,0 days 01:22:21.991000,0 days 01:22:52.147000,0 days 01:23:15.781000,277,237,244,284,TRUE,MEDIUM,18,FALSE,Red Bull Racing,0 days 01:21:51.660000,22:53.7,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:30:17.024000,VER,1,0 days 00:01:24.065000,20,1,,,0 days 00:00:30.213000,0 days 00:00:30.134000,0 days 00:00:23.718000,0 days 01:29:23.172000,0 days 01:29:53.306000,0 days 01:30:17.024000,,235,243,286,TRUE,MEDIUM,23,FALSE,Red Bull Racing,0 days 01:28:52.959000,29:55.0,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:31:41.036000,VER,1,0 days 00:01:24.012000,21,1,,,0 days 00:00:30.306000,0 days 00:00:30.065000,0 days 00:00:23.641000,0 days 01:30:47.330000,0 days 01:31:17.395000,0 days 01:31:41.036000,277,237,243,287,TRUE,MEDIUM,24,FALSE,Red Bull Racing,0 days 01:30:17.024000,31:19.1,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:37:38.331000,VER,1,0 days 00:01:23.777000,25,2,,,0 days 00:00:30.109000,0 days 00:00:30.145000,0 days 00:00:23.523000,0 days 01:36:44.663000,0 days 01:37:14.808000,0 days 01:37:38.331000,271,235,245,286,TRUE,HARD,2,TRUE,Red Bull Racing,0 days 01:36:14.554000,37:16.6,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:39:02.048000,VER,1,0 days 00:01:23.717000,26,2,,,0 days 00:00:30.176000,0 days 00:00:30.036000,0 days 00:00:23.505000,0 days 01:38:08.507000,0 days 01:38:38.543000,0 days 01:39:02.048000,278,236,243,287,TRUE,HARD,3,TRUE,Red Bull Racing,0 days 01:37:38.331000,38:40.4,1,1,FALSE,,FALSE,TRUE,Hungary,2023
